AS ON 01/08/2024
ORISSA HIGH COURT
Approved Judge Strength: 33 [ Pmt.: 24 Addl.: 09 ]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of Remarks
No S/Shri Justice Appointment Appointment retirement
as Addl. Judge As Pmt. Judge
Chakradhari Sharan Singh, BAR, 05/04/2012, 19/01/2025 (CJ w.e.f. 07.02.2024, PHC: Patna)
Arindam Sinha, BAR, 30/10/2013, 21/09/2027 (w.e.f. 08.10.2021, PHC: Calcutta)
Debabrata Dash, SERVICE, 29/11/2013, 11/10/2024
Sangam Kumar Sahoo, BAR, 02/07/2014, 04/06/2026
Krushna Ram Mohapatra, BAR, 17/04/2015, 17/04/2027
Bibhu Prasad Routray, SERVICE, 08/11/2019, 31/01/2032
Dr. Sanjeeb Kumar Panigrahi, BAR, 10/02/2020, 28/07/2034
Miss Savitri Ratho, BAR, 11/06/2020, 03/07/2030
Mr. Uganka Sekhar Sahoo, BAR, 13/10/2021, 06/09/2033
Radha Krishna Pattanaik, SERVICE, 13/10/2021, 24/10/2032
Sashikanta Mishra, SERVICE, 13/10/2021, 16/01/2029
Aditya Kumar Mohapatra, BAR, 05/11/2021, 25/02/2031
V. Narasingh, BAR, 14/02/2022, 18/01/2029
Biraja Prasanna Satapathy, BAR, 14/02/2022, 19/08/2028
Mura Hari Sri Raman, BAR, 14/02/2022, 07/06/2032
Sanjay Kumar Mishra, BAR, 10/06/2022, 13/11/2029
Gourishankar Satapathy, SERVICE, 13/08/2022, 24/04/2034
Chittaranjan Dash, SERVICE, 13/08/2022, 11/11/2026
Sibo Sankar Mishra, BAR, 05/09/2023, 02/05/2030
Ananda Chandra Behera, SERVICE, 05/09/2023, 22/05/2026
Additional Judges
Sl. Name of Additional Judge Date of Source Date of initial Date of expiry Remarks
No S/Shri Justice Birth appointment of present
term
NIL
JUDGES TRANSFERRED FROM THE ORISSA HIGH COURT
Sl Name of the Judge Source Date of Date of Date of Remarks
No S/Shri Justice Appointment as Appointment retirement
Addl. As Pmt. Judge
Judge
- - - - - -
""
