AS ON 01/08/2024
MEGHALAYA HIGH COURT
Approved Judge Strength: 04 [ Pmt.: 03 Addl.: 01 ]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of Remarks
No. S/Shri Justice Appointment Appointment retirement
as Addl. Judge As Pmt. Judge
S. Vaidyanathan, BAR, 25/10/2013, 16/08/2024 (CJ w.e.f. 11.02.2024, PHC: Madras)
Hamarsan Singh Thangkhiew, BAR, 19/11/2018, 23/12/2028
Wanlura Diengdo, SERVICE, 15/11/2019, 08/11/2027
Additional Judges
Sl. Name of Additional Judge Date of Birth Source Date of initial Date of expiry
No. S/Shri Justice appointment of present term
Biswadeep Bhattacharjee, BAR, 26/03/1968, 31/07/2025 (Transferred from Meghalaya High Court)
Sl. Name of the Judge Source Appointment Appointment Date of Remarks
No. S/Shri Justice as Addl. as Pmt. Judge retirement
Judge
Nil
""
