AS ON 01/08/2024
BOMBAY HIGH COURT
Approved Judge Strength: 94 [Pmt.: 71 Addl.: 23]
(List of Judges arranged according to date of initial appointment)
Sl. Name of the Judge Source Date of Date of Date of
No. S/Shri Justice Appointment Appointment Retirement Remarks
as Addl. as Pmt. Judge
Judge
SL. NAME OF ADDITIONAL JUDGE DATE OF SOURCE DATE OF DATE OF EXPIRY
NO. S/SHRI JUSTICE BIRTH INITIAL OF PRESENT
APPOINTMENT TERM
nameofthejudges,source,dateofappointmentofaddl.judges,dateofappointmentaspmtjudges,dateofreteriment,remark
SANJAY A. DESHMUKH,SERVICE,07/10/2022,,06/10/2024,"(extn. Given for one year w.e.f. 07/10/2024)"
SMT. VRUSHALI V. JOSHI,SERVICE,07/10/2022,,06/10/2024,"(extn. Given for one year w.e.f. 07/10/2024)"
SHAILESH PRAMOD BRAHME,BAR,15/06/2023,,14/06/2025,
FIRDOSH PHIROZE POONIWALLA,BAR,15/06/2023,,14/06/2025,
JITENDRA SHANTILAL JAIN,BAR,15/06/2023,,14/06/2025,
SMT. MANJUSHA AJAY DESHPANDE,BAR,12/08/2023,,11/08/2025,
ABHAY JAINARAYANJI MANTRI,SERVICE,21/10/2023,,20/10/2025,
SHYAM CHHAGANLAL CHANDAK,SERVICE,21/10/2023,,20/10/2025,
NEERAJ PRADEEP DHOTE,SERVICE,21/10/2023,,20/10/2025,
SOMASEKHAR SUNDARESAN,BAR,28/11/2023,,27/11/2025,
Judges transferred from the Bombay High Court
Sl. Name of the Judge Source Apptt.as Apptt. as DOR Remarks
No. S/Shri Justice Addl. Judge Pmt. Judge
- - - - - -
""
